city,province,population
香港,香港,739
澳门,澳门,62
台湾,台湾,2274
重庆市,重庆,2884.62
温州市,浙江,912.21
杭州市,浙江,870.04
宁波市,浙江,760.57
台州市,浙江,596.88
金华市,浙江,536.16
绍兴市,浙江,491.22
嘉兴市,浙江,450.17
湖州市,浙江,289.35
衢州市,浙江,212.27
丽水市,浙江,211.7
舟山市,浙江,112.13
昆明市,云南,643.2
曲靖市,云南,585.5
昭通市,云南,521.3
红河哈尼族彝族自治州,云南,450.1
文山壮族苗族自治州,云南,351.8
大理白族自治州,云南,345.6
楚雄彝族自治州,云南,268.4
普洱市,云南,254.3
保山市,云南,250.6
临沧市,云南,243
玉溪市,云南,230.4
丽江市,云南,124.5
德宏傣族景颇族自治州,云南,121.1
西双版纳傣族自治州,云南,113.4
怒江傈僳族自治州,云南,53.4
迪庆藏族自治州,云南,40
喀什地区,新疆,397.94
乌鲁木齐市,新疆,311.03
石河子市,新疆,38
伊犁哈萨克自治州,新疆,248.26
阿克苏地区,新疆,237.09
和田地区,新疆,201.44
昌吉回族自治州,新疆,142.86
巴音郭楞蒙古自治州,新疆,127.85
塔城地区,新疆,121.92
自治区直辖县级行政区划,新疆,77.09
吐鲁番地区,新疆,62.27
阿勒泰地区,新疆,60.33
哈密地区,新疆,57.24
克孜勒苏柯尔克孜自治州,新疆,52.56
博尔塔拉蒙古自治州,新疆,44.37
克拉玛依市,新疆,39.1
日喀则地区,西藏,70.33
昌都地区,西藏,65.75
拉萨市,西藏,55.94
那曲地区,西藏,46.24
山南地区,西藏,32.9
林芝地区,西藏,19.51
阿里地区,西藏,9.55
天津市,天津,1293.82
成都市,四川,1404.76
南充市,四川,627.86
达州市,四川,546.81
绵阳市,四川,461.39
凉山州,四川,453.28
宜宾市,四川,447.2
泸州市,四川,421.84
内江市,四川,370.28
资阳市,四川,366.51
德阳市,四川,361.58
巴中市,四川,328.38
遂宁市,四川,325.26
乐山市,四川,323.58
广安市,四川,320.55
眉山市,四川,295.05
自贡市,四川,267.89
广元市,四川,248.41
雅安市,四川,150.73
攀枝花,四川,121.41
甘孜州,四川,109.19
阿坝州,四川,89.87
上海,上海,2301.91
西安市,陕西,846.78
渭南市,陕西,528.61
咸阳市,陕西,489.48
宝鸡市,陕西,371.67
汉中市,陕西,341.62
榆林市,陕西,335.14
安康市,陕西,262.99
商洛市,陕西,234.17
延安市,陕西,218.7
铜川市,陕西,83.44
杨凌示范区,陕西,20.12
运城市,山西,513.48
临汾市,山西,431.66
太原市,山西,420.16
吕梁市,山西,372.71
长治市,山西,333.46
大同市,山西,331.81
晋中市,山西,324.94
忻州市,山西,306.75
晋城市,山西,227.92
朔州市,山西,171.49
阳泉市,山西,136.85
临沂市,山东,1003.94
潍坊市,山东,908.62
青岛市,山东,871.51
菏泽市,山东,828.78
济宁市,山东,808.19
烟台市,山东,696.82
济南市,山东,681.4
聊城市,山东,578.99
德州市,山东,556.82
泰安市,山东,549.42
淄博市,山东,453.06
滨州市,山东,374.85
枣庄市,山东,372.93
威海市,山东,280.48
日照市,山东,280.11
东营市,山东,203.53
莱芜市,山东,129.85
西宁市,青海,220.87
海东地区,青海,139.68
海西蒙古族藏族自治州,青海,48.93
海南藏族自治州,青海,44.17
玉树藏族自治州,青海,37.84
海北藏族自治州,青海,27.33
黄南藏族自治州,青海,25.67
果洛藏族自治州,青海,18.17
银川市,宁夏,199.31
吴忠市,宁夏,127.38
固原市,宁夏,122.82
中卫市,宁夏,108.08
石嘴山市,宁夏,72.55
赤峰市,内蒙古,434.12
通辽市,内蒙古,313.92
呼和浩特市,内蒙古,286.66
包头市,内蒙古,265.04
呼伦贝尔市,内蒙古,254.93
乌兰察布市,内蒙古,214.36
鄂尔多斯市,内蒙古,194.07
巴彦淖尔市,内蒙古,166.99
兴安盟,内蒙古,161.33
锡林郭勒盟,内蒙古,102.8
乌海市,内蒙古,53.29
阿拉善盟,内蒙古,23.13
沈阳市,辽宁,810.62
大连市,辽宁,669.04
鞍山市,辽宁,364.59
锦州市,辽宁,312.65
朝阳市,辽宁,304.46
铁岭市,辽宁,271.77
葫芦岛市,辽宁,262.35
丹东市,辽宁,244.47
营口市,辽宁,242.85
抚顺市,辽宁,213.81
辽阳市,辽宁,185.88
阜新市,辽宁,181.93
本溪市,辽宁,170.95
盘锦市,辽宁,139.25
赣州市,江西,836.84
上饶市,江西,657.97
宜春市,江西,541.96
南昌市,江西,504.26
吉安市,江西,481.03
九江市,江西,472.88
抚州市,江西,391.23
萍乡市,江西,185.45
景德镇市,江西,158.75
新余市,江西,113.89
鹰潭市,江西,112.49
苏州市,江苏,1046.6
徐州市,江苏,858.05
南京市,江苏,800.47
南通市,江苏,728.28
盐城市,江苏,726.02
无锡市,江苏,637.26
淮安市,江苏,479.99
宿迁市,江苏,471.56
泰州市,江苏,461.86
常州市,江苏,459.2
扬州市,江苏,445.98
连云港市,江苏,439.39
镇江市,江苏,311.34
长春市,吉林,767.71
吉林市,吉林,441.47
四平市,吉林,338.63
松原市,吉林,288.11
通化市,吉林,232.52
延边州,吉林,227.16
白城市,吉林,203.31
白山市,吉林,129.66
辽源市,吉林,117.66
衡阳市,湖南,714.15
邵阳市,湖南,707.18
长沙市,湖南,704.41
常德市,湖南,571.72
岳阳市,湖南,547.79
永州市,湖南,518.02
怀化市,湖南,474.19
郴州市,湖南,458.18
益阳市,湖南,431.31
株洲市,湖南,385.56
娄底市,湖南,378.56
湘潭市,湖南,274.86
湘西自治州,湖南,254.78
张家界市,湖南,147.65
武汉市,湖北,978.54
黄冈市,湖北,616.21
荆州市,湖北,569.17
襄阳市,湖北,550.03
孝感市,湖北,481.45
宜昌市,湖北,405.97
十堰市,湖北,334.08
恩施土家族苗族自治州,湖北,329.03
荆门市,湖北,287.37
咸宁市,湖北,246.26
黄石市,湖北,242.93
随州市,湖北,216.22
天门市,湖北,141.89
仙桃市,湖北,117.51
鄂州市,湖北,104.87
潜江市,湖北,94.63
神农架林区,湖北,7.61
哈尔滨市,黑龙江,1063.6
绥化市,黑龙江,541.64
齐齐哈尔市,黑龙江,536.7
大庆市,黑龙江,290.45
牡丹江市,黑龙江,279.87
佳木斯市,黑龙江,255.21
鸡西市,黑龙江,186.22
黑河市,黑龙江,167.39
双鸭山市,黑龙江,146.26
伊春市,黑龙江,114.81
鹤岗市,黑龙江,105.87
七台河市,黑龙江,92.04
大兴安岭行署,黑龙江,51.16
南阳市,河南,1026.3
周口市,河南,895.32
郑州市,河南,862.65
商丘市,河南,736.25
驻马店市,河南,723.07
洛阳市,河南,654.95
信阳市,河南,610.87
新乡市,河南,570.78
安阳市,河南,517.28
平顶山市,河南,490.44
开封市,河南,467.62
许昌市,河南,430.72
濮阳市,河南,359.85
焦作市,河南,353.99
漯河市,河南,254.41
三门峡市,河南,223.39
鹤壁市,河南,156.91
济源市,河南,67.57
保定市,河北,1119.44
石家庄市,河北,1016.38
邯郸市,河北,917.47
唐山市,河北,757.73
沧州市,河北,713.41
邢台市,河北,710.41
廊坊市,河北,435.88
张家口市,河北,434.55
衡水市,河北,434.08
承德市,河北,347.32
秦皇岛市,河北,298.76
海口市,海南,204.62
儋州市,海南,93.24
三亚市,海南,68.54
万宁市,海南,54.56
文昌市,海南,53.74
琼海市,海南,48.32
澄迈县,海南,46.72
乐东县,海南,45.89
临高县,海南,42.79
东方市,海南,40.83
陵水县,海南,32.05
定安县,海南,28.46
屯昌县,海南,25.69
昌江县,海南,22.38
琼中县,海南,17.41
白沙县,海南,16.79
保亭县,海南,14.67
五指山市,海南,10.41
三沙市,海南,0.1
毕节地区,贵州,653.64
遵义市,贵州,612.7
贵阳市,贵州,432.46
黔东南苗族侗族自治州,贵州,348.06
黔南布依族苗族自治州,贵州,323.12
铜仁地区,贵州,309.24
六盘水市,贵州,285.12
黔西南布依族苗族自治州,贵州,280.59
安顺市,贵州,229.73
南宁市,广西,666.16
玉林市,广西,548.74
桂林市,广西,474.8
贵港市,广西,411.88
柳州市,广西,375.87
百色市,广西,346.68
河池市,广西,336.92
钦州市,广西,307.97
梧州市,广西,288.22
来宾市,广西,209.97
崇左市,广西,199.43
贺州市,广西,195.41
北海市,广西,153.93
防城港市,广西,86.69
广州市,广东,1270.08
深圳市,广东,1035.79
东莞市,广东,822.02
佛山市,广东,719.43
湛江市,广东,699.33
揭阳市,广东,587.7
茂名市,广东,581.78
汕头市,广东,539.1
惠州市,广东,459.7
江门市,广东,444.89
梅州市,广东,424.01
肇庆市,广东,391.81
清远市,广东,369.84
中山市,广东,312.09
河源市,广东,295.3
汕尾市,广东,293.57
韶关市,广东,282.66
潮州市,广东,266.98
阳江市,广东,242.18
云浮市,广东,236.01
珠海市,广东,156.02
兰州市,甘肃,361.62
天水市,甘肃,326.25
定西市,甘肃,269.86
陇南市,甘肃,256.77
庆阳市,甘肃,221.12
平凉市,甘肃,206.8
临夏回族自治州,甘肃,194.67
武威市,甘肃,181.51
白银市,甘肃,170.88
张掖市,甘肃,119.95
酒泉市,甘肃,109.59
甘南藏族自治州,甘肃,68.91
金昌市,甘肃,46.41
嘉峪关市,甘肃,23.19
泉州市,福建,812.85
福州市,福建,711.54
漳州市,福建,481
厦门市,福建,353.13
宁德市,福建,282.2
莆田市,福建,277.85
南平市,福建,264.55
龙岩市,福建,255.95
三明市,福建,250.34
北京市,北京,1961.2
阜阳市,安徽,760
合肥市,安徽,570.2
六安市,安徽,561.2
宿州市,安徽,535.3
安庆市,安徽,531.1
亳州市,安徽,485.1
滁州市,安徽,393.8
巢湖市,安徽,387.3
蚌埠市,安徽,316.4
宣城市,安徽,253.3
淮南市,安徽,233.4
芜湖市,安徽,226.3
淮北市,安徽,211.4
池州市,安徽,140.3
马鞍山市,安徽,136.6
黄山市,安徽,135.9
铜陵市,安徽,72.4
