country,hale
Afghanistan,53.0
Albania,68.1
Algeria,65.5
Andorra,-
Angola,55.8
Antigua and Barbuda,67.0
Argentina,68.4
Armenia,66.3
Australia,73.0
Austria,72.4
Azerbaijan,64.9
Bahamas,66.8
Bahrain,68.1
Bangladesh,63.3
Barbados,67.0
Belarus,65.5
Belgium,71.6
Belize,62.5
Benin,53.5
Bhutan,60.7
Bolivia (Plurinational State of),63.0
Bosnia and Herzegovina,67.2
Botswana,57.5
Brazil,66.0
Brunei Darussalam,67.9
Bulgaria,66.4
Burkina Faso,52.9
Burundi,52.6
Cabo Verde,64.5
Cambodia,60.8
Cameroon,51.1
Canada,73.2
Central African Republic,44.9
Chad,47.2
Chile,69.7
China,68.7
Colombia,67.1
Comoros,56.6
Congo,56.7
Cook Islands,-
Costa Rica,70.9
Côte d'Ivoire,48.3
Croatia,69.0
Cuba,69.9
Cyprus,73.3
Czechia,69.3
Democratic People's Republic of Korea,64.6
Democratic Republic of the Congo,52.5
Denmark,71.8
Djibouti,56.6
Dominica,-
Dominican Republic,65.2
Ecuador,67.9
Egypt,61.1
El Salvador,65.5
Equatorial Guinea,53.8
Eritrea,57.4
Estonia,68.2
Ethiopia,57.5
Fiji,61.3
Finland,71.7
France,73.4
Gabon,58.7
Gambia,54.4
Georgia,64.9
Germany,71.6
Ghana,56.4
Greece,72.0
Grenada,64.7
Guatemala,64.2
Guinea,52.2
Guinea-Bissau,51.7
Guyana,58.3
Haiti,55.3
Honduras,66.8
Hungary,66.8
Iceland,73.0
India,59.3
Indonesia,61.7
Iran (Islamic Republic of),65.4
Iraq,59.0
Ireland,72.1
Israel,72.9
Italy,73.2
Jamaica,66.9
Japan,74.8
Jordan,66.4
Kazakhstan,63.4
Kenya,58.9
Kiribati,57.8
Kuwait,66.3
Kyrgyzstan,63.5
Lao People's Democratic Republic,57.9
Latvia,66.2
Lebanon,66.1
Lesotho,46.6
Liberia,54.5
Libya,62.3
Lithuania,66.1
Luxembourg,72.6
Madagascar,58.3
Malawi,56.2
Malaysia,66.6
Maldives,69.8
Mali,50.7
Malta,72.2
Marshall Islands,-
Mauritania,56.4
Mauritius,65.8
Mexico,67.7
Micronesia (Federated States of),61.1
Monaco,-
Mongolia,61.9
Montenegro,68.1
Morocco,65.3
Mozambique,52.2
Myanmar,58.4
Namibia,55.9
Nauru,-
Nepal,61.3
Netherlands,72.1
New Zealand,72.8
Nicaragua,66.9
Niger,52.5
Nigeria,48.9
Niue,-
Norway,73.0
Oman,65.6
Pakistan,57.7
Palau,-
Panama,69.4
Papua New Guinea,58.0
Paraguay,65.3
Peru,67.5
Philippines,61.7
Poland,68.5
Portugal,72.0
Qatar,68.6
Republic of Korea,73.0
Republic of Moldova,63.6
Romania,66.6
Russian Federation,63.5
Rwanda,59.9
Saint Kitts and Nevis,-
Saint Lucia,66.4
Saint Vincent and the Grenadines,63.4
Samoa,66.0
San Marino,-
Sao Tome and Principe,60.7
Saudi Arabia,65.7
Senegal,58.8
Serbia,67.4
Seychelles,65.7
Sierra Leone,47.6
Singapore,76.2
Slovakia,68.3
Slovenia,70.5
Solomon Islands,61.9
Somalia,50.0
South Africa,55.7
South Sudan,50.6
Spain,73.8
Sri Lanka,66.8
Sudan,55.7
Suriname,63.2
Swaziland,50.2
Sweden,72.4
Switzerland,73.5
Syrian Arab Republic,55.8
Tajikistan,63.5
Thailand,66.8
The former Yugoslav Republic of Macedonia,67.1
Timor-Leste,59.2
Togo,53.9
Tonga,64.3
Trinidad and Tobago,63.3
Tunisia,66.3
Turkey,66.0
Turkmenistan,61.4
Tuvalu,-
Uganda,54.9
Ukraine,64.0
United Arab Emirates,66.7
United Kingdom,71.9
United Republic of Tanzania,56.5
United States of America,68.5
Uruguay,68.8
Uzbekistan,64.5
Vanuatu,62.7
Venezuela (Bolivarian Republic of),66.1
Viet Nam,67.5
Yemen,55.1
Zambia,54.3
Zimbabwe,54.4
