zh,en
中国,China
丹麦,Denmark
以色列,Israel
伊拉克,Iraq
俄罗斯,Russia
克罗地亚,Croatia
冰岛,Iceland
加拿大,Canada
爱尔兰,Ireland
北马其顿,Macedonia
印度,India
厄瓜多尔,Ecuador
哥伦比亚,Colombia
圣马力诺,San Marino
埃及,Egypt
墨西哥,Mexico
奥地利,Austria
尼日利亚,Nigeria
尼日尔,Niger
尼泊尔,Nepal
巴基斯坦,Pakistan
巴林,Bahrain
巴西,Brazil
希腊,Greece
德国,Germany
挪威,Norway
摩纳哥,Monaco
斯里兰卡,Sri Lanka
新西兰,New Zealand
柬埔寨,Cambodia
格鲁吉亚,Georgia
比利时,Belgium
法国,France
泰国,Thailand
澳大利亚,Australia
爱沙尼亚,Estonia
瑞典,Sweden
瑞士,Switzerland
白俄罗斯,Belarus
科威特,Kuwait
科特迪瓦,Côte d'Ivoire
立陶宛,Lithuania
罗马尼亚,Romania
芬兰,Finland
英国,United Kingdom
荷兰,Netherlands
菲律宾,Philippines
西班牙,Spain
越南,Vietnam
阿塞拜疆,Azerbaijan
阿富汗,Afghanistan
阿尔及利亚,Algeria
阿曼,Oman
阿联酋,United Arab Emirates
马来西亚,Malaysia
黎巴嫩,Lebanon
韩国,South Korea
伊朗,Iran
意大利,Italy
新加坡,Singapore
日本,Japan
钻石公主号,Diamond Princess
美国,United States of America
捷克,Czechia
印度尼西亚,Indonesia
卡塔尔,Qatar
多米尼加,Dominica
卢森堡,Luxembourg
葡萄牙,Portugal
亚美尼亚,Armenia
约旦,Jordan
安道尔,Andorra
塞内加尔,Senegal
沙特阿拉伯,Saudi Arabia
突尼斯,Tunisia
拉脱维亚,Latvia
摩洛哥,Morocco
乌克兰,Ukraine
阿根廷,Argentina
智利,Chile
波兰,Poland
匈牙利,Hungary
斯洛文尼亚,Slovenia
波黑,Bosnia and Herz.
南非,South Africa
法属圭亚那,French Guiana
巴勒斯坦,Palestine
不丹,Bhutan
喀麦隆,Cameroon
梵蒂冈,Vatican
塞尔维亚,Serbia
斯洛伐克,Slovakia
秘鲁,Peru
多哥,Togo
列支敦士登公国,Liechtenstein
哥斯达黎加,Costa Rica
马耳他,Malta
马尔代夫,Maldives
巴拉圭,Paraguay
摩尔多瓦,Moldova
文莱,Brunei
孟加拉国,Bangladesh
保加利亚,Bulgaria
阿尔巴尼亚,Albania
塞浦路斯,Cyprus
布基纳法索,Burkina Faso
蒙古国,Mongolia
巴拿马,Panama
土耳其,Turkey
牙买加,Jamaica
玻利维亚,Bolivia
洪都拉斯,Honduras
圭亚那,Guyana
古巴,Cuba
加纳,Ghana
加蓬,Gabon
特立尼达和多巴哥,Trinidad and Tobago
肯尼亚,Kenya
哈萨克斯坦,Kazakhstan
埃塞俄比亚,Ethiopia
几内亚,Guinea
苏丹,Sudan
委内瑞拉,Venezuela
乌拉圭,Uruguay
危地马拉,Guatemala
波多黎各,Puerto Rico
安提瓜和巴布达,Antigua and Barbuda
苏里南,Suriname
毛里塔尼亚,Mauritania
毛里求斯,Mauritius
海地,Haiti
斯威士兰,eSwatini
卢旺达,Rwanda
纳米比亚,Namibia
赤道几内亚,Eq. Guinea
塞舌尔,Seychelles
中非共和国,Central African Rep.
乌兹别克斯坦,Uzbekistan
刚果（布）,Congo
刚果（金）,Dem. Rep. Congo
巴哈马,Bahamas
利比里亚,Liberia
坦桑尼亚,Tanzania
索马里,Somalia
贝宁,Benin
利比亚,Libya
格陵兰,Greenland
黑山,Montenegro
冈比亚,Gambia
巴巴多斯,Barbados
吉尔吉斯斯坦,Kyrgyzstan
萨尔瓦多,El Salvador
斐济,Fiji
乍得,Chad
津巴布韦,Zimbabwe
缅甸,Myanmar
乌干达,Uganda
伯利兹,Belize
安哥拉,Angola
莫桑比克,Mozambique
马里,Mali
赞比亚,Zambia
布隆迪,Burundi
博茨瓦纳,Botswana
马拉维,Malawi
老挝,Laos
巴布亚新几内亚,Papua New Guinea
尼加拉瓜,Nicaragua
多米尼克,Dominican Rep.
厄立特里亚,Eritrea
索马里兰,Somaliland
几内亚比绍,Guinea-Bissau
马达加斯加,Madagascar
叙利亚,Syria
东帝汶,East Timor
佛得角,Cape Verde
法罗群岛,Faroe Islands
莱索托,Lesotho
南苏丹,S. Sudan
也门,Yemen
吉布提,Djibouti
塞拉利昂,Sierra Leone
塔吉克斯坦,Tajikistan
